|||Sütunlar||||||||||||||||||||||||||
Satırlar|||Ankara(Akyurt)-1872|Ankara(Altındağ)-1130|Ankara(Ayaş)-1157|Ankara(Bala)-1167|Ankara(Beypazarı)-1187|Ankara(Elmadağ)-1302|Ankara(Etimesgut)-1922|Ankara(Evren)-1924|Ankara(Gölbaşı)-1744|Ankara(Güdül)-1365|Ankara(Haymana)-1387|Ankara(Kahramankazan)-1815|Ankara(Kalecik)-1427|Ankara(Kazan)-1815|Ankara(Keçiören)-1745|Ankara(Kızılcahamam)-1473|Ankara(Mamak)-1746|Ankara(Nallıhan)-1539|Ankara(Polatlı)-1578|Ankara(Pursaklar)-2034|Ankara(Sincan)-1747|Ankara(Yenimahalle)-1723|Ankara(Çamlıdere)-1227|Ankara(Çankaya)-1231|Ankara(Çubuk)-1260|Ankara(Şereflikoçhisar)-1658|
|||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||
||2021|2431.0|212.0|700.0|1985.0|452.0|1100.0|67.0|202.0|1880.0|1341.0|2800.0|1433.0|2421.0||296.0|2034.0|991.0|1207.0|1200.0|135.0|509.0|226.0|520.0|750.0|3363.0|1370.0|
||2022|2582.0|201.0|678.0|1600.0|442.0|1245.0|89.0|165.0|1900.0|1100.0|1610.0|1450.0|2421.0||355.0|1907.0|1150.0|1180.0|1000.0|119.0|1234.0|275.0|452.0|741.0|3102.0|1264.0|
||2023|1981.0|623.0|562.0|1491.0|439.0|1424.0|76.0|223.0|1513.0|578.0|2050.0|1247.0|2484.0||660.0|2350.0|1528.0|971.0|1866.0|118.0|1221.0|222.0|573.0|409.0|2946.0|1002.0|
||2024|1531.0|483.0|435.0|1530.0|1062.0|1076.0|67.0|208.0|1641.0|575.0|2353.0|2573.0|2648.0||1242.0|2140.0|1818.0|351.0|1686.0|111.0|653.0|201.0|801.0|846.0|2709.0|1040.0|
|01.41.10.03.01. (Süt Sığırları, Canlı (Yerli), 2 Ve Daha Yukarı Yaşta (İnek))|2004|1055.0|100.0|30.0|2560.0|1500.0|416.0|435.0|750.0|395.0|400.0|6000.0||1500.0|250.0|117.0|7000.0|300.0|1000.0|2820.0||50.0|220.0|2500.0|200.0|4095.0|1500.0|
||2005|1155.0|100.0|30.0|2450.0|1100.0|381.0|425.0|700.0|450.0|350.0|5800.0||1500.0|80.0|110.0|6800.0|300.0|995.0|2500.0||363.0|200.0|3500.0|190.0|4156.0|2000.0|
||2006|1200.0|100.0|30.0|3200.0|750.0|330.0|400.0|700.0|350.0|380.0|5800.0||1500.0|90.0|100.0|6000.0|280.0|850.0|2540.0||100.0|200.0|3820.0|180.0|4160.0|2000.0|
||2007|1000.0|90.0|70.0|3100.0|1517.0|371.0|260.0|428.0|395.0|103.0|3945.0||2260.0|110.0|169.0|4000.0|265.0|836.0|1810.0||106.0|215.0|3052.0|180.0|4020.0|355.0|
||2008|700.0|112.0|36.0|3200.0|1502.0|338.0|250.0|440.0|410.0|100.0|3950.0||2323.0|145.0|197.0|2200.0|284.0|522.0|1800.0||95.0|220.0|3000.0|165.0|5310.0|345.0|
||2009|600.0|330.0|42.0|1500.0|1322.0|336.0|30.0|450.0|510.0|210.0|3840.0||1708.0|125.0|220.0|2500.0|491.0|618.0|1400.0|100.0|117.0|330.0|500.0|910.0|5305.0|280.0|
